Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Croatia,HRV,..,..,1.0287707062,0.9311986557,1.2028907041,0.9911561941,0.8354914987,0.4915730337,0.9817890378,1.5935100681,1.2736966825,3.2138334571,5.1072875075,7.7374566109,9.2427781556,10.3036876356,10.5117565698,10.5849582173,10.5849582173,10.9589041096
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Cuba,CUB,52.068047318,52.2484036607,52.4284117043,52.6080724568,52.7873869223,52.966356101,53.1449809891,50.1549618166,57.1777109746,59.4868577467,59.2921162584,61.3600593756,63.2330776156,64.9374910188,64.9374910188,64.9374910188,64.9374910188,64.9374910188,64.9374910188,64.9374910188
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Cyprus,CYP,74.3958868895,73.4258351557,75.9389354229,76.8287500759,77.8032161352,72.7947186419,69.3504057943,66.0203139428,68.1818181818,76.7973856209,73.1635651322,74.0440845704,67.3228346457,65.6482569526,63.309352518,66.3265306122,63.8977635783,62.6262626263,61.1888111888,59.9277978339
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Czechia,CZE,0.6248484832,0.5303671847,0.9800838574,0.9682741487,1.0980949011,1.2346479338,1.3784708736,1.5134586084,1.7412140079,2.1632459741,2.0224748161,2.2071748162,2.3465507876,2.6666666667,2.9401066925,3.3875,2.8963414634,2.8588957055,3.0188679245,2.8552456839
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Denmark,DNK,25.9205372132,25.3595912636,24.7342416529,25.6204600484,28.9917208752,27.1357564461,33.7736932797,20.585143658,35.4829339143,35.2505782575,33.6024498886,32.8223746134,26.0377358491,40.0932213605,43.316032531,47.7457501848,52.0687264303,53.3301034385,59.6759186413,53.5627393411
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Djibouti,DJI,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842,15.7894736842
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,5,5,5,5,5,5,5,5,5,5
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Dominican Republic,DOM,86.3309352518,85.3870838347,84.4879577051,83.6304514155,82.8117405122,82.029250457,81.4953850393,81.0201158779,80.5942977043,80.2105942395,79.8630519843,80.6935459486,81.4434758908,82.124022462,82.7443889242,83.3122197865,83.3122197865,83.3122197865,83.3122197865,83.3122197865
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Ecuador,ECU,86.2037679458,85.2042538825,84.2276524514,83.2731847147,82.3401066465,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199,81.427707199
