Total Water Withdrawals (bcm),GDP (current US$),Agriculture Water Withdrawals (%),Water Stress Level (%),Domestic Water Withdrawals (%),Water Productivity (2015 US$ GDP per cubic meter),Average Precipitation (mm per year),Renewable Internal Water Resources (bcm),Industry Water Withdrawals (%),Total Population,Year,Country
647.5,2.2948E+12,90.40735874,66.49209283,7.358738502,3.517013823,1083,1446,2.23390276,1338636340,2016,India
3.3241,38503862831,56.73716194,5.742097081,25.11958124,14.96575686,1996,109.2,18.14325682,13739299,2008,Guatemala
80.13485714,4.89699E+12,67.30673317,36.84361248,18.58211614,54.61578127,1668,430,14.11115069,127276000,2014,Japan
0.2819,12523402329,69.79166667,0.861552567,25.34722222,32.76005764,285,6.16,4.861111111,2132340,2011,Namibia
0.719846154,6785137173,62.41551258,1.107455621,29.94592448,10.30674622,1651,226,7.63856294,10527712,2011,Guinea
0.2745,13989700000,45.215311,39.15275995,47.84688995,49.07504554,402,0.812,6.937799043,4173398,2014,West Bank and Gaza
0.24605,1.86834E+11,38.64126708,424.2241379,58.97710358,564.3818595,74,0.056,2.381629342,1905660,2012,Qatar
0.7701,1.38182E+11,62.272,3850.5,35.864,149.4582411,121,0,1.864,4317185,2018,Kuwait
0.839,11971345003,5.238095238,12.45916246,18.33333333,10.91236016,450,1.62,69.28571429,2664224,2019,Moldova
1.634,88060858257,82.59476775,116.7142857,4.698344901,50.82839084,125,1.4,12.70688735,4602768,2019,Oman
3,2.68515E+11,13.79310345,7.11406213,17.24137931,84.9147199,536,107,68.96551724,5521606,2019,Finland
3.2184,46869457318,59.26041019,26.53256389,36.85518956,18.20900565,630,20.7,3.884400249,42635144,2011,Kenya
12.946,28279814925,87.36289201,90.78541374,6.218136876,3.816734786,1712,52.8,6.418971111,19695977,2006,Sri Lanka
0.07,4832811750,67.65432099,87.5,24.69135802,69.20526862,1422,0.08,7.654320988,278649,2016,Barbados
1.042255556,4756361480,71.50713021,4.446482746,25.55829993,5.693055038,151,3.5,2.934569857,14365168,2006,Niger
0.31968,2999511040,0.312812813,0.107817875,56.96321321,34.36444974,3142,801,42.72397397,5892596,2002,Papua New Guinea
2.184,18049954289,94.0018315,1.036544851,4.487179487,8.264631085,1904,120.6,1.510989011,15417523,2015,Cambodia
0.807733333,4946292775,42.36624776,19.54824137,23.02333932,8.283687227,619,5.4,34.61041293,2026773,2003,North Macedonia
8.419,2.85706E+12,14.04988124,14.35464621,73.95486936,377.0238442,1220,145,11.99524941,66836327,2019,United Kingdom
10.136,1.93148E+11,79.98224152,20.50576573,16.64364641,19.21174123,652,58,3.364246251,10775971,2016,Greece
1.3425,12799593018,44.30769231,12.40413933,28.74725275,10.94598024,2051,10.823,26.94505495,2701221,2007,Jamaica
19.05,3.23586E+11,59.47506562,60.99903939,19.84251969,18.32093745,495,44.8,20.6824147,56422274,2016,South Africa
1.068,3816022047,94.19475655,77.55991285,3.867041199,3.844964545,788,2.64,1.938202247,1142524,2016,Eswatini
1.3194675,2.39809E+11,1.621761042,219.91125,46.12631413,187.5799145,2497,0.6,52.25192483,5076732,2010,Singapore
1.45,14833154472,83.37931034,13.38379177,13.10344828,10.2297617,1440,13.007,3.517241379,10563757,2015,Haiti
632.6598,9.4026E+11,90.7814373,64.96814541,7.192191335,1.869147693,1083,1446,2.026371368,1172373788,2006,India
10.573,1.27341E+11,87.7768191,50.75121202,10.19077749,11.36652138,346,29,2.032403413,35927511,2018,Morocco
74.7,7.29336E+11,76.17135208,28.02076613,14.0562249,11.84960973,758,409,9.772423025,102429341,2003,Mexico
0.0461,10551600478,64.01766004,91.28712871,33.77483444,203.9377684,560,0.0505,2.207505519,425967,2013,Malta
4.399,4223152219,93.18026824,2.867666232,2.955217095,1.791244443,1834,190.4,3.864514662,6041348,2007,Lao PDR
15.7228,67220154164,30.00101763,20.37159886,21.09420714,6.232699901,565,55.1,48.90477523,47451626,2004,Ukraine
32.22,2.32054E+12,14.37985551,28.20625055,17.52969983,70.74126073,867,200,68.09044467,63628261,2006,France
0.02,520207407.4,5,10,95,27.79610326,2083,0.2,0,69371,2014,Dominica
3.116,46206091938,80.17553585,79.12043267,14.90423099,13.49882902,207,4.195,4.920233165,10895063,2010,Tunisia
12.97184,18881765437,89.31655031,90.96661992,5.256000691,3.158033467,1712,52.8,5.427448997,19224036,2003,Sri Lanka
1.5433,11880434071,76.71889162,2.692428472,18.51612068,7.887871843,2280,156.21,4.764987699,6208676,2014,Nicaragua
0.885,6054849885,3.746203173,13.14226314,14.74856564,7.242114108,450,1.62,81.50523118,2868833,2008,Moldova
0.869811765,2448714681,67.17473287,3.710801044,29.54116908,5.576828809,151,3.5,3.284098052,12031430,2001,Niger
1.819666667,10172882371,58.19084391,5.927252986,19.74627689,6.154270111,1026,58.13,22.06287921,3860158,2007,Georgia
0.8796,8650138069,76.4211005,4.294921875,11.78944975,8.067311307,322,15,11.78944975,10722731,2007,Chad
36.71013956,1.85822E+12,40.49741589,32.34658521,24.26433665,52.51779965,832,182.5,35.23824746,57969484,2005,Italy
0.02155,563090641.2,91.39784946,7.183333333,6.88172043,40.09859534,228,0.3,1.720430108,465958,2001,Cabo Verde
3.3241,29744368111,56.73716194,5.742097081,25.11958124,13.62505462,1996,109.2,18.14325682,13213330,2006,Guatemala
1.607,8869311411,73.30429372,4.621268764,19.60174238,8.670257074,1976,90.66,7.093963908,7383407,2004,Honduras
7.137,79997975622,83.31221979,39.55331412,9.418477842,11.13157366,1410,23.5,7.269302372,10647244,2017,Dominican Republic
1.581289,11185102400,86.41095967,6.746113481,11.31203721,6.799476932,151,3.5,2.277003129,21737922,2017,Niger
1.4452,37388122046,6.181752766,10.41961067,9.557161275,23.4171985,656,15.46,84.26108596,3162916,2009,Lithuania
10.573,1.18541E+11,87.7768191,50.75121202,10.19077749,11.02842929,346,29,2.032403413,35528115,2017,Morocco
0.169666667,1491891108,47.15127701,2.580481622,49.86247544,14.67165979,1168,11.5,2.986247544,5008035,2000,Togo
5.952631579,2.30814E+11,45.64504373,3.052631579,24.45335277,36.94192461,2875,580,29.9016035,27664296,2008,Malaysia
0.7285,3.27149E+11,26.03773585,19.69983775,56.07267645,395.8007108,703,6,17.8895877,5591572,2012,Denmark
0.525384587,8690878328,60.7675151,17.39684061,36.90085959,17.22412946,1212,9.5,2.331625311,11930899,2016,Rwanda
0.1767,27263090547,27.81869688,1.041249263,52.35127479,154.2902691,667,16.94,19.83002833,1977527,2015,Latvia
0.5098,3.18832E+11,4,84.96666667,45,625.6852168,2497,0.6,51,5607283,2016,Singapore
49.88222222,49765676402,90.83285884,143.0519708,5.812930276,1.220408581,206,16.34,3.354210881,28562400,2010,Uzbekistan
0.633933333,1484092538,77.93669156,4.066281805,6.762014933,5.692482127,2331,99,15.30129351,510572,2004,Suriname
9.573575,4.73862E+11,0.549786514,18.17652364,13.49642273,69.01523596,778,11,85.95379076,16148929,2002,Netherlands
14.0544,2.52518E+11,87.52774397,125.1616351,8.800505955,2.441916433,252,7.132,3.671750078,22337563,2010,Syrian Arab Republic
77.5,2.35734E+11,79.16129032,141.1657559,13.87096774,4.620040155,18.1,1,6.967741936,101789386,2017,"Egypt, Arab Rep."
0.550256391,9252834120,60.48854874,18.2204103,37.42151642,17.09951644,1212,9.5,2.089934836,12230339,2017,Rwanda
0.7709,10494632699,44.3469048,18.65682478,34.80147319,11.83983691,619,5.4,20.85162202,2058539,2011,North Macedonia
32.58160944,1.91896E+11,86.01762525,6.069599374,5.401723249,6.055836796,1738,1641,8.582492574,31132779,2016,Peru
8.75125,97963003805,60.42279674,1.310067365,30.09570061,18.69939967,3240,2145,9.481502643,40454050,2002,Colombia
35.73,1.55651E+12,7.505688282,3.679711638,14.28043231,43.5630791,537,2850,78.21387941,35702908,2015,Canada
0.32641015,5177230923,64.529727,10.80828313,29.87914785,16.16128759,1212,9.5,5.591125147,9781996,2008,Rwanda
12.1116,3.39476E+11,45.4823106,9.388837209,38.29759134,27.30267408,1150,221,16.22009806,152382506,2008,Nigeria
9.9158,1.07562E+11,81.4277072,6.782352941,13.0369026,10.25533296,2274,442.4,5.5353902,17015672,2018,Ecuador
4.852,5446434032,93.81698269,3.162972621,2.679307502,1.751084489,1834,190.4,3.50370981,6135861,2008,Lao PDR
0.0539,35064843793,0.287429199,4.469320066,82.85569363,852.3844927,934,1,16.85687717,458095,2004,Luxembourg
0.547333333,5623216449,43.1181486,4.018600098,14.61632156,12.44355083,241,34.8,42.26552984,2633887,2008,Mongolia
1.57214,17470436259,37.59207195,5.120977199,41.6871271,11.29537015,1026,58.13,20.72080095,3720161,2019,Georgia
37.437,1.15372E+12,64.37700521,51.03885481,15.77341819,30.48713931,636,111.2,19.84957661,43653155,2005,Spain
0.470066667,12582122604,54.70146079,3.451297112,15.65735357,22.38031776,241,34.8,29.64118565,2845153,2013,Mongolia
0.0122,1107840741,1.282051282,50.83333333,98.71794872,86.57633925,1427,0.024,0,47712,2019,St. Kitts and Nevis
0.476107692,80798630137,53.24497049,2380.538462,44.4450376,190.0124635,121,0,2.309991916,2235403,2005,Kuwait
0.204,17031901441,39.01960784,2.133221792,49.31372549,77.13012202,416,2.4,13.33333333,2451409,2018,Botswana
478.6,1.30392E+13,34.11919494,30.32953105,11.63501885,32.59557436,715,2818,54.24578622,295516599,2005,United States
0.09716,487038821.6,40.34582133,2.113092649,39.3989296,10.81131732,836,3,20.25524907,1566257,2003,"Gambia, The"
77,9.75387E+11,76.84346701,28.88352064,13.84217335,12.77144803,758,409,9.314359638,106886790,2006,Mexico
0.28642,876794723.1,77.50855387,10.42285298,16.69576147,6.967447301,1274,10.06,5.795684659,6465729,2001,Burundi
7.707,7335027592,92.68929504,50.03895598,2.924281984,0.801907832,533,48.93,4.386422977,5719600,2013,Kyrgyz Republic
2.578657143,2.28859E+11,28.91315307,1.960956002,32.70179987,122.7265325,1414,382,38.38504706,4564855,2003,Norway
2.7135,3.85802E+11,31.13576061,2.063498099,29.39637382,142.1785701,1414,382,39.46786557,5188607,2015,Norway
0.8796,11314951343,76.4211005,4.294921875,11.78944975,11.9668682,322,15,11.78944975,16126866,2019,Chad
0.802778571,11411706629,62.90697674,88.91112764,32.6744186,28.83339778,111,0.682,4.418604651,5532423,2004,Jordan
10.891725,6.5838E+11,0.802944129,20.6791817,11.62023309,61.96321719,778,11,87.57682278,16281779,2004,Netherlands
2.629,3.69255E+11,49.75301324,1752.666667,49.51590595,148.6756583,78,0.15,0.731080814,8994263,2016,United Arab Emirates
0.864,1980907435,12.21624228,12.83041283,12.46175029,5.52159918,450,1.62,75.32200743,2903198,2003,Moldova
0.382369444,37712842243,53.59280546,1911.847222,43.58416962,160.1975227,121,0,2.823024925,1934901,2000,Kuwait
0.4624,14206359007,54.26038062,3.395007342,9.796712803,30.65433888,241,34.8,35.94290657,3232430,2019,Mongolia
0.02,576229629.6,5,10,95,27.78405526,2083,0.2,0,70075,2016,Dominica
0.682,3190371050,57.14790263,6.520076482,40.51293197,7.984794084,748,12.5,2.339165399,12249764,2001,Burkina Faso
7.746,99886577331,63.51665376,1.159580838,31.8486961,20.2699637,2612,2145,4.634650142,39215135,2000,Colombia
1.607,23136232230,73.30429372,4.621268764,19.60174238,14.22034241,1976,90.66,7.093963908,9626842,2017,Honduras
0.893,27133804244,56.10302352,98.90353306,39.41769317,37.76464307,111,0.682,4.479283315,6931258,2010,Jordan
33.231,6110632858,88.82083063,5.801501397,9.981454859,0.547473662,2091,1002.8,1.197714508,46480230,2002,Myanmar
10.66466707,1.18605E+11,76.89472113,21.42790249,8.746082099,18.13455143,854,38,14.35919677,10289898,2000,Portugal
27.98334749,3.34198E+11,74.15830326,4.189123876,12.66976954,11.13047489,3240,2145,13.1719272,49276961,2018,Colombia
2.824,23142153760,81.77842577,71.70606607,13.96065211,10.41730798,207,4.195,4.260922121,10094561,2002,Tunisia
0.851,6974982393,4.158767773,12.63736264,15.50947867,7.582220278,450,1.62,80.33175355,2862354,2010,Moldova
0.5368,42927454291,9.114292381,3.870223504,14.85622521,70.56828555,656,15.46,76.02948241,2987773,2012,Lithuania
3.4926,11777966673,90.45441555,166.3142857,7.653615319,13.29944459,167,2.1,1.891969134,20188799,2003,"Yemen, Rep."
50.17111111,67517349212,91.18666568,143.8804448,5.17210498,1.397354917,206,16.34,3.641229336,29774500,2012,Uzbekistan
33.231,6849321646,88.99844396,5.801501397,10.00141458,0.435783002,2091,1002.8,1.000141459,45538332,2000,Myanmar
9.22,1.35062E+12,54.24120023,3.707277845,23.16791691,146.4876021,534,492,15.97230237,23815995,2015,Australia
0.0198,22388345810,5.050505051,0.183503244,79.7979798,761.1115012,2156,26,15.15151515,1193636,2012,Equatorial Guinea
0.394486667,5348300000,45.215311,56.26681881,47.84688995,21.93483514,402,0.812,6.937799043,3406334,2006,West Bank and Gaza
0.658,13962212847,36.47416413,4.226075787,29.33130699,20.43989181,900,26,34.19452888,11213284,2014,South Sudan
6.416,2.51019E+11,22.24127182,6.00692819,16.91084788,33.97524054,637,42.38,60.8478803,19371648,2019,Romania
3.49,4.44621E+11,2.207840554,9.643547941,20.61796627,118.6883516,1110,55,77.17419318,8879920,2019,Austria
0.9602,1.01565E+11,2.206017751,21.43782094,23.19028153,110.451841,2054,7.1,74.60370072,3634488,2012,Puerto Rico
4.400944549,5.35831E+11,1.274214241,54.06565785,17.33389301,112.5116719,847,12,81.39189275,11488980,2019,Belgium
0.725,5816553827,67.72413793,26.35405307,29.51724138,10.32728289,2041,2.751,2.75862069,1213370,2003,Mauritius
0.7057,69309110146,20.78492491,1.871883289,45.26778124,117.8103091,1010,148,33.94729385,32353588,2019,Angola
0.0253,1787968044,92.59259259,8.433333333,5.925925926,58.52105858,228,0.3,1.481481482,510336,2008,Cabo Verde
0.3921,4865892972,0.25503698,0.132242833,57.00076511,31.26817734,3142,801,42.74419791,6498818,2005,Papua New Guinea
640.0799,1.1989E+12,90.58669002,65.73011912,7.278896673,2.050406461,1083,1446,2.13441331,1206734806,2008,India
0.1016,1543292393,38.58267717,2.209656372,40.5511811,13.29326641,836,3,20.86614173,1937275,2010,"Gambia, The"
1.988,2.36816E+11,1.741214008,30.23114355,35.95343106,89.04684778,677,13.15,62.30535493,10384603,2008,Czechia
60.384,85146067416,86.27562642,109.989071,8.599088838,3.15451198,18.1,1,5.125284738,74393759,2002,"Egypt, Arab Rep."
11.2462,7.33955E+11,1.078038289,21.3521929,11.08131312,63.36044028,778,11,87.84064859,16346101,2006,Netherlands
27.865,35164210526,94.29777492,143.5600206,2.700865708,0.992461797,161,1.405,3.001359376,5458682,2012,Turkmenistan
0.2801,3104003611,79.25740807,10.19286754,15.38736166,11.08176941,1274,10.06,5.355230275,10727148,2015,Burundi
25.03166667,3.88909E+12,1.330858769,34.30875366,35.68455809,132.1617633,700,107,62.98458313,80982500,2014,Germany
1.812,51147308774,38.04347826,58.79299156,13.04347826,27.98317553,661,4.8,48.91304348,6258619,2016,Lebanon
1.3482,5206444407,90.57917346,13.24621733,7.065619908,3.575366808,92,0.4,2.355206636,3233336,2008,Mauritania
10.134,1.99844E+11,79.99802645,20.5017196,16.64693112,19.42539504,652,58,3.355042431,10754679,2017,Greece
0.211609091,25710904255,38.11634091,182.4216301,56.79199515,115.0068903,83,0.004,5.091663946,1110343,2008,Bahrain
5.184,14142035080,89.35185185,12.96324081,10.16589506,4.047840689,1071,84,0.482253086,36353531,2002,Tanzania
3.57,5291950100,82.07282913,33.5148329,11.9047619,3.52182788,657,12.26,6.022408964,12450568,2007,Zimbabwe
1.4134,7367975888,2.123142251,15.2965368,5.737791932,11.14211875,626,12.71,99.56448364,1379350,2002,Estonia
14.027,9.28627E+11,52.01991465,5.640128669,29.3598862,82.38248372,534,492,18.62019915,21691653,2009,Australia
0.37759,5815700000,45.215311,53.85679646,47.84688995,23.78452819,402,0.812,6.937799043,3494496,2007,West Bank and Gaza
20.282,18418848300,98.1696273,54.75701944,0.99838511,1.047289763,327,47.15,0.831987591,36686784,2018,Afghanistan
1.4486,68337537816,73.0574901,6.314734089,20.45609723,43.1214342,1187,30.3,6.486412672,31522290,2019,Ghana
41.56103636,1.02669E+12,6.851000498,4.280230316,13.9630612,30.81305424,537,2850,79.1859383,31940655,2004,Canada
1.0884,30155064574,67.71407571,1.560430108,22.67548695,25.2312597,1604,273,9.610437339,21032684,2012,Cameroon
0.952926667,20283780000,67.56373938,5.944645456,22.3796034,22.46552097,1784,15.63,10.05665722,6137349,2011,El Salvador
14.445,95693808463,87.89167815,128.6401282,8.543526451,1.619391117,252,7.132,3.564795399,17611356,2003,Syrian Arab Republic
78.65,1.0527E+12,76.71944269,29.50245322,14.13552882,12.79002683,758,409,9.145028499,108302973,2007,Mexico
1.634,91505851756,82.59476775,116.7142857,4.698344901,51.40864591,125,1.4,12.70688735,4601157,2018,Oman
0.351281955,5671592572,63.82637172,11.63185281,31.19187509,15.95532296,1212,9.5,4.981753192,10043737,2009,Rwanda
1.572,8331870169,73.28244275,2.835497836,18.44783715,6.926025214,1020,80.2,8.269720102,11564870,2005,Zambia
41.73437582,1.27677E+12,42.82922286,36.77361514,21.50668252,45.11496026,832,182.5,35.66409462,57059007,2002,Italy
29.197,1.6239E+12,58.93213204,85.22183304,24.63628979,53.3152631,1274,64.85,16.43157817,51361911,2017,"Korea, Rep."
0.133348214,3519991326,48.31603616,1.000361698,29.88952126,46.63995169,1039,10.3,21.79444258,6998023,2000,Benin
0.453366667,7939487474,36.68847879,4.147910949,52.87111242,35.05906181,1180,39,10.44040879,27146084,2004,Uganda
5.362785714,60810211408,83.05848665,766.1122449,12.81330399,14.8983512,56,0.7,4.12820936,6360191,2009,Libya
147.4465625,2.85869E+11,76.46260279,19.66740863,8.521951007,3.374997581,2702,2018.7,15.0154462,228805144,2005,Indonesia
1.572,25873601261,73.28244275,2.835497836,18.44783715,14.52076755,1020,80.2,8.269720102,17298054,2017,Zambia
1.34,2.38364E+11,57.32152163,115.6069364,35.90411673,188.0216125,435,0.75,6.774361647,7623600,2010,Israel
10.122,2.12049E+11,80.09286702,20.47744285,16.66666667,19.77290764,652,58,3.240466311,10732882,2018,Greece
2.839,27453007373,81.55636611,72.08694107,14.09137276,10.84954283,207,4.195,4.352261136,10193798,2003,Tunisia
1.2168,19152238806,62.43676832,39.48085659,29.80633039,22.76959775,661,4.8,7.756901286,4446666,2002,Lebanon
0.01932,4410764339,5.175983437,0.17905468,79.71014493,428.9327515,2156,26,15.11387164,826355,2004,Equatorial Guinea
1.355485714,6331961555,87.50685047,12.51140589,10.68673327,8.188735287,1440,13.007,1.806416256,8511728,2001,Haiti
35.87,2.65236E+11,87.81711737,5.723339482,10.03624198,5.825357067,2666,105,2.146640647,159784568,2016,Bangladesh
22.64,3.769E+11,88.0016899,943.3333333,8.998732573,20.20203343,59,2.4,2.999577524,25382870,2006,Saudi Arabia
0.8796,10000395242,76.4211005,4.294921875,11.78944975,11.32172152,322,15,11.78944975,15085884,2017,Chad
42.7784437,2.07848E+12,0.69384764,58.63273534,25.98266142,67.26404031,700,107,73.32296499,82488495,2002,Germany
56.614,2.33636E+11,78.11727305,79.51404494,12.18650653,3.563878121,216,35.2,9.696220417,41563520,2019,Iraq
51.95466667,1.71413E+11,85.24398265,13.19450088,3.691105014,3.640158806,1522,885,11.06491234,16833447,2009,Chile
0.1016,1054113427,38.58267717,2.209656372,40.5511811,10.7474159,836,3,20.86614173,1711294,2006,"Gambia, The"
9.8059,36591661000,82.34010665,6.707181943,12.39648862,6.55178037,2274,442.4,5.263404737,13534593,2004,Ecuador
0.1459,2398000000,8.430431803,0.264311594,54.96915696,18.71635974,2391,200,36.60041124,4181150,2011,Liberia
1.535463333,17986890000,67.56373938,9.578685798,22.3796034,13.43404422,1784,15.63,10.05665722,6068099,2008,El Salvador
3.636,1.9729E+11,2.748553192,10.0469743,18.19389516,85.58646343,1110,55,79.05755165,8011566,2000,Austria
0.0725,1825018191,0.551724138,0.335648148,82.89655172,24.50183176,1343,141,16.55172414,4904177,2016,Central African Republic
0.7049,59032066092,7.737456611,1.567140952,80.13568949,69.82268951,1113,37.7,19.88008836,4255689,2013,Croatia
3.49,4.54991E+11,2.207840554,9.643547941,20.61796627,116.9143073,1110,55,77.17419318,8840521,2018,Austria
1.572,28037239463,73.28244275,2.835497836,18.44783715,12.54560316,1020,80.2,8.269720102,15234976,2013,Zambia
10.72,8.38923E+11,0.561399582,20.35314221,11.34922411,69.15012502,778,11,88.08937631,16754962,2012,Netherlands
2.4623,22627507452,3.681135002,17.75270368,6.881390919,12.23263128,656,15.46,89.43747408,3377075,2004,Lithuania
0.6159,3317437626,69.99512908,3.950609365,8.004546193,7.913940042,2331,99,22.00032473,581453,2016,Suriname
1.36095,54782847753,74.78232117,5.932650392,18.23726074,35.54908979,1187,30.3,6.98041809,28196358,2014,Ghana
0.046,11649858744,4.362050164,0.027446301,69.46564886,183.4071086,1646,222,26.17230098,4089602,2008,"Congo, Rep."
1.4447,3432913073,94.34484668,3.298401827,4.243095452,2.5205653,2387,241,1.412057867,747932,2010,Guyana
1.607,14587496229,73.30429372,4.621268764,19.60174238,10.58166667,1976,90.66,7.093963908,8277302,2009,Honduras
34.95868562,2.11007E+11,85.88531803,6.512422805,5.217159956,5.786224295,1738,1641,8.89838024,31605486,2017,Peru
0.3362,27121712423,4.358037578,20.32648126,62.00417537,75.00585785,2200,3.84,33.63778706,1430377,2012,Trinidad and Tobago
9.51018,7273938315,98.00024816,8.323280238,1.666635122,1.612591208,1500,198.2,0.333116723,26003965,2004,Nepal
4.865,24305717542,86.33093525,26.96187098,12.33299075,7.329755871,1410,23.5,1.336073998,8540791,2000,Dominican Republic
36.15033333,9.07492E+11,63.9602001,49.28470802,15.4783501,29.53744683,636,111.2,20.5614498,42187645,2003,Spain
6.619166667,3.18083E+11,0.587344168,81.31654382,11.12481189,57.4010035,847,12,88.28784394,10376133,2003,Belgium
2.63,4.91253E+11,4.068441065,3.795093795,38.02281369,170.9447805,624,171,57.90874525,9148092,2007,Sweden
1.3568,8004000737,85.9375,17.50483809,10.546875,4.0331565,1181,16.14,3.515625,15146094,2011,Malawi
2.43,64417670083,80.65843621,4.146757679,9.87654321,26.49485209,2926,113,9.053497942,5084532,2019,Costa Rica
3.544375,3.16092E+11,2.624850596,9.793796629,18.03739805,95.82937378,1110,55,79.33775136,8227829,2005,Austria
50.305,12030023548,90.11287077,144.2644107,6.890366611,0.758870808,206,16.34,2.996762621,25864350,2004,Uzbekistan
0.02,554770370.4,5,10,95,26.86545198,2083,0.2,0,70823,2018,Dominica
0.175,1350177128,75.78947368,1.495726496,17.94736842,6.741775044,1577,16,6.263157895,1879826,2017,Guinea-Bissau
0.0401,9462289606,60.40100251,79.40594059,37.09273183,222.2862903,560,0.0505,2.506265664,420028,2012,Malta
15.554,86771314031,87.95165231,138.5163416,8.570142729,1.349490312,252,7.132,3.478204963,16727948,2001,Syrian Arab Republic
0.0198,16314442183,5.050505051,0.183503244,79.7979798,659.6613801,2156,26,15.15151515,1094524,2010,Equatorial Guinea
3.395,19963120610,79.01169126,31.87194893,18.59115941,5.880153346,657,12.26,2.397149336,14154937,2015,Zimbabwe
194.87,2.44361E+11,93.97656037,119.5448132,5.260288907,1.325673375,494,55,0.763150722,208251628,2014,Pakistan
56.75,5.09789E+11,57.03821095,2.68321513,25.24740271,21.84389353,1761,5661,17.71438634,180476685,2002,Brazil
9.935,2.82996E+11,85.37414966,20.09913008,13.32714904,21.68535585,652,58,1.298701299,11104899,2011,Greece
1.572,4193845678,73.28244275,2.835497836,18.44783715,5.642472656,1020,80.2,8.269720102,10508294,2002,Zambia
6.645383333,73141000000,63.23307762,22.86386834,25.58012976,12.0922159,1335,38.12,11.18679263,11309290,2012,Cuba
10.596,1.53883E+11,39.57354536,13.72894532,21.78352006,9.620999382,565,55.1,38.64293459,44386203,2019,Ukraine
37.69,4.47755E+11,73.92800424,10.45666408,15.48438327,15.1618662,591,292,10.58761249,44938712,2019,Argentina
1.171875,24827844950,71.24266667,5.108435048,20.65066667,24.30209062,1187,30.3,8.106666667,23708320,2007,Ghana
0.3921,24109509853,0.25503698,0.132242833,57.00076511,60.34123516,3142,801,42.74419791,9329227,2018,Papua New Guinea
0.2819,12541928105,69.79166667,0.861552567,25.34722222,39.89467911,285,6.16,4.861111111,2446644,2019,Namibia
7.538,1.76207E+11,63.12974323,6.143439283,13.56323588,21.35717486,1732,327,23.30702089,4408100,2012,New Zealand
551.54,1.3394E+12,67.97586922,40.28132806,10.80618742,5.441159004,645,2812.9,21.21794336,1271850000,2001,China
2.7788,4.9841E+11,30.40411674,2.113155894,31.0554536,136.1590426,1414,382,38.54042967,5137232,2014,Norway
1.186,21633708192,88.41786525,84.71428571,10.14383043,39.66731719,125,1.4,1.438304315,2431600,2003,Oman
167.9525,5.10229E+11,79.65396837,22.40262772,9.14343205,3.52417281,2702,2018.7,11.20259958,237936543,2008,Indonesia
625.45949,4.85441E+11,91.35036613,64.22874204,6.938892975,1.341656476,1083,1446,1.710740895,1078970907,2001,India
0.0438,887295267.9,8.675799087,2.565905097,45.66210046,33.18431228,788,5.23,45.66210046,1998630,2000,Lesotho
3.298,5534000000,99.48453608,24.52774059,0.454821104,1.755669446,282,6,0.060642814,14292847,2016,Somalia
1.61750625,14953950557,32.39762663,5.26875,53.60740204,9.245065085,1026,58.13,13.99497133,3725276,2015,Georgia
0.695538462,6853467858,61.55633667,1.070059172,30.65097268,10.10011675,1651,226,7.792690653,10270728,2010,Guinea
2.7687,4.98283E+11,30.51502456,2.105475285,30.80395839,129.1534307,1414,382,38.68101705,4953088,2011,Norway
3.66,61231149881,86.61202186,9.786096257,11.20218579,15.16758043,1300,92.2,2.18579235,3428409,2019,Uruguay
9.935,2.42029E+11,83.37191746,20.09913008,15.35983895,20.14858044,652,58,1.268243583,11045011,2012,Greece
0.849,31634561670,54.41696113,94.03034666,41.69611307,41.80047772,111,0.682,3.886925795,7211863,2012,Jordan
0.1707,11420227885,75.93893542,23.33242209,21.79816266,98.12589116,498,0.78,2.262901918,982194,2002,Cyprus
0.818,6146352742,51.43031785,7.820267686,45.91687042,8.502219356,748,12.5,2.652811736,13876127,2005,Burkina Faso
14.1444,2.1809E+11,87.52774397,125.9631312,8.800505955,2.177864769,252,7.132,3.671750078,21474059,2008,Syrian Arab Republic
3.607,1.97509E+11,2.770961554,9.966841669,18.15503222,87.36781588,1110,55,79.07400623,8042293,2001,Austria
1.631,23019150071,0.271977928,17.65151515,3.740036787,13.18436141,626,12.71,95.95340282,1322696,2012,Estonia
0.557584615,1.05963E+11,55.87892396,2787.923077,41.94121796,176.06852,121,0,2.179858083,2795550,2009,Kuwait
9.875,2.13435E+11,65.58773207,8.04808476,10.19777626,20.47095675,1732,327,24.21449167,4979200,2019,New Zealand
6.219,1.70029E+11,11.89710611,5.822488531,16.55948553,24.93005233,637,42.38,71.22186495,20246871,2010,Romania
5.468,55810138436,15.08778347,40.41688225,17.23116313,8.893322075,608,21,67.68471105,7265115,2013,Bulgaria
0.288,870486065.9,77.08333333,10.48034935,17.01388889,6.789641185,1218,10.06,5.902777778,6307659,2000,Burundi
0.2801,1611835902,79.25740807,10.19286754,15.38736166,8.89110151,1274,10.06,5.355230275,8278109,2008,Burundi
3.994,4.62336E+11,1.126690035,49.06633907,18.50275413,115.75753,847,12,80.37055583,11274196,2015,Belgium
80.35228571,5.21233E+12,67.20944686,36.94357964,18.65044837,54.30713344,1668,430,14.14010477,127445000,2013,Japan
1.572,4901839731,73.28244275,2.835497836,18.44783715,6.034340913,1020,80.2,8.269720102,10837973,2003,Zambia
1.35,15730793853,8.419497784,12.4734362,10.33973412,10.96448209,2051,10.823,81.24076809,2811835,2018,Jamaica
