Total Water Withdrawals (bcm),GDP (current US$),Agriculture Water Withdrawals (%),Water Stress Level (%),Domestic Water Withdrawals (%),Water Productivity (2015 US$ GDP per cubic meter),Average Precipitation (mm per year),Renewable Internal Water Resources (bcm),Industry Water Withdrawals (%),Total Population,Year,Country
0.675,60672093865,1.273696683,1.500666963,78.3471564,75.0194755,1113,37.7,20.37914692,4295427,2010,Croatia
82.489,1.81625E+11,81.47753034,25.21828187,8.524773,2.545292778,2348,479,9.997696663,91252326,2008,Philippines
0.223,4180866177,34.08071749,3.391634981,63.0941704,18.74827882,1168,11.5,2.825112108,7473229,2015,Togo
9.815281818,47648211133,91.22694574,30.01615235,8.252437526,5.406428986,848,122,0.520616738,97084366,2013,Ethiopia
0.2122,1650494367,21.53628652,0.495794393,52.30914232,12.55469125,2526,160,26.15457116,5683334,2005,Sierra Leone
640.51948,5.14938E+11,91.22587897,65.77525981,6.994317117,1.359947556,1083,1446,1.779803909,1098313039,2002,India
50.31555556,73180036692,91.36831363,144.2946818,4.843098903,1.495009436,206,16.34,3.788587465,30243200,2013,Uzbekistan
1.9696,1.90184E+11,1.513458608,29.9513382,35.88577497,87.52737736,677,13.15,61.50927613,10298828,2007,Czechia
10.518,7276753895,62.33406977,46.44733937,7.571059911,1.501947144,447,8.115,30.09487032,8234100,2003,Azerbaijan
7.707,3802566171,92.94497077,50.03895598,2.822011691,0.615245156,533,48.93,4.233017537,5268400,2007,Kyrgyz Republic
187.88,2.24384E+11,93.97656037,115.2567327,5.260288907,1.258268867,494,55,0.763150722,202205861,2012,Pakistan
47.41788571,1.38517E+11,86.44578313,66.59815409,4.548192771,2.541580064,216,35.2,9.006024096,31264875,2010,Iraq
0.4947,10817712139,31.53426319,11.97241046,46.83646655,18.9033209,619,5.4,21.62927026,2064032,2013,North Macedonia
0.223,2351584608,34.08071749,3.391634981,63.0941704,12.08432507,1168,11.5,2.825112108,5874240,2006,Togo
1.0628,2770082792,94.65562665,77.18228032,3.560406474,2.654846647,788,2.64,1.78396688,1065764,2004,Eswatini
5.186,8156469133,97.85962206,8.00308642,2.063247204,1.835677478,282,60,0.077130737,14080912,2007,Mali
34.36031136,2.32557E+11,72.61248811,9.532879637,15.81009742,13.68804726,591,292,11.57741448,39476851,2006,Argentina
22.96,30833699703,68.32135859,31.84466019,10.33311561,3.926168087,250,64.35,21.3455258,14909019,2003,Kazakhstan
57.307,2.8171E+11,90.37448086,23.01393518,4.77960423,5.631438283,1622,224.51,4.845914913,67813654,2009,Thailand
2.425501489,19797254643,89.70876974,12.89474476,9.756131795,6.889620072,686,25.8,0.535098466,13970308,2014,Senegal
3.2196,68285768554,59.26041019,26.54245672,36.85518956,20.74850358,630,20.7,3.884400249,45831863,2014,Kenya
12.9567,2.70991E+12,11.08545035,22.0915601,47.88298691,204.997503,1220,145,11.97844496,60846820,2006,United Kingdom
5.246061364,33590500000,52.4284117,18.04941119,33.03814158,9.113587005,1335,38.12,14.53344671,11170051,2002,Cuba
0.996762857,6303391144,74.75628248,1.185211483,22.08950689,6.854971527,1032,100.3,3.15421063,19186754,2003,Mozambique
3.3241,77170421168,56.73716194,5.742097081,25.11958124,21.29426276,1996,109.2,18.14325682,16604026,2019,Guatemala
0.7645,2.32181E+11,12.86084982,3.679018287,77.90301654,285.3666211,1118,49,9.236133636,4273591,2006,Ireland
177.11,3.20909E+11,93.97656037,108.6497761,5.260288907,1.831697776,494,55,0.763150722,223293280,2019,Pakistan
1.52112,23510577108,39.19743347,6.659894921,40.53329126,18.70286619,1348,76.84,20.26927527,18544903,2004,Cote d'Ivoire
2.44,60516043590,81.96721311,4.163822526,8.606557377,25.10666622,2926,113,9.016393443,4993842,2017,Costa Rica
1.1676,22022709852,56.63976522,37.88449059,26.85253118,27.24853111,661,4.8,16.5077036,4719864,2006,Lebanon
1.044,11307058382,39.54437433,25.26621491,33.33224071,10.022174,619,5.4,27.12338496,2074502,2017,North Macedonia
7.137,85555378043,83.31221979,39.55331412,9.418477842,11.90883886,1410,23.5,7.269302372,10765531,2018,Dominican Republic
0.875,1.03446E+11,3.466178042,19.53561063,24.30905482,113.2847706,2054,7.1,72.22476714,3325286,2017,Puerto Rico
1.319874286,14381552433,73.16714146,1.569410566,24.59931249,9.190297359,1032,100.3,2.233546052,23760421,2011,Mozambique
1.951,2.0907E+11,2.022474816,29.66849148,36.41004254,88.61615916,677,13.15,61.56748264,10474410,2010,Czechia
2.50404,1.47824E+11,82.84336637,1669.36,15.43596776,95.66388333,78,0.15,1.720665864,3993339,2004,United Arab Emirates
0.1016,1378176868,38.58267717,2.209656372,40.5511811,13.56473296,836,3,20.86614173,2253133,2015,"Gambia, The"
0.0817,1678239218,61.1995104,0.286164624,28.02937577,40.76860344,2592,28.55,10.77111383,832509,2000,Fiji
0.046,15655384440,4.362050164,0.027446301,69.46564886,230.0502564,1646,222,26.17230098,4584216,2011,"Congo, Rep."
0.435369231,47876510067,53.6447452,2176.846154,44.06606287,170.4113563,121,0,2.289191932,2101506,2003,Kuwait
81.556,1.75975E+11,82.23494648,24.933048,7.644772496,2.611696694,2348,479,10.12028102,92946951,2009,Philippines
2.413,36089700223,78.61583092,1.835399711,15.00207211,15.64731114,1130,117,6.382096975,6266615,2016,Paraguay
9.774,7765014424,75.48598322,64.48080222,8.041743401,1.04251579,691,63.46,16.47227338,9128132,2018,Tajikistan
0.0253,924940272.4,92.59259259,8.433333333,5.925925926,41.26867368,228,0.3,1.481481482,486583,2004,Cabo Verde
3.959,1.2861E+11,9.994481998,6.837651123,13.67315032,32.31352684,589,6,76.33236768,9814023,2016,Hungary
5.186,10689167195,97.85962206,8.00308642,2.063247204,2.122851834,282,60,0.077130737,15529181,2010,Mali
0.0725,2142591376,0.551724138,0.335648148,82.89655172,32.17241324,1343,141,16.55172414,4660067,2010,Central African Republic
1.162,47964234560,51.63511188,5.087565674,27.53872633,42.25797422,1348,76.84,20.82616179,24213622,2016,Cote d'Ivoire
0.20288,1385810072,22.52563091,0.474018692,51.65615142,11.78761332,2526,160,25.81821767,5350907,2003,Sierra Leone
1.378,19633031398,0.30616332,14.91341991,4.650589427,13.75712087,626,12.71,95.04324725,1334515,2009,Estonia
12.12,40865558912,92.08745875,53.52174873,3.061056106,4.251808842,447,8.115,4.851485149,9854033,2017,Azerbaijan
444.3961118,1.94773E+13,39.65878143,28.16198427,13.14231696,42.58491743,715,2818,47.19890162,325122128,2017,United States
0.3921,24751344561,0.25503698,0.132242833,57.00076511,63.04478234,3142,801,42.74419791,9542486,2019,Papua New Guinea
5.72,57372445772,83.19039451,817.1428571,12.00686106,8.589487201,56,0.7,4.802744425,6097764,2014,Libya
0.6159,2626380435,69.99512908,3.950609365,8.004546193,6.477546144,2331,99,22.00032473,522023,2006,Suriname
